Kecamatan;Desa/Kelurahan
Air Hitam;Gunung Terang
Air Hitam;Rigis Jaya
Air Hitam;Semarang Jaya
Air Hitam;Sidodadi
Air Hitam;Sinar Jaya
Air Hitam;Sri Menanti
Air Hitam;Sukadamai
Air Hitam;Sukajadi
Air Hitam;Sumber Alam
Air Hitam;Manggarai
Blik Bukit;Bahway
Blik Bukit;Gunung Sugih
Blik Bukit;Padang Dalom
Blik Bukit;Sebarus
Blik Bukit;Sedampah Indah
Blik Bukit;Sukarame
Blik Bukit;Kubu Perahu
Blik Bukit;Padang Cahya
Blik Bukit;Wates
Blik Bukit;Way Empulau Ulu
Bandar Negeri Suoh;Gunung Ratu
Bandar Negeri Suoh;Ringin Jaya
Bandar Negeri Suoh;Srimulyo
Bandar Negeri Suoh;Suoh
Bandar Negeri Suoh;Bumi Hantatai
Bandar Negeri Suoh;Negeri Jaya
Bandar Negeri Suoh;Bandar Agung
Bandar Negeri Suoh;Tanjungsari
Bandar Negeri Suoh;Tembelang
Bandar Negeri Suoh;Tri Mekar Jaya
Batu Brak;Canggu
Batu Brak;Gunung Sugih
Batu Brak;Kegeringan
Batu Brak;Kembahang
Batu Brak;Negeri Ratu
Batu Brak;Sukabumi
Batu Brak;Kota Besi
Batu Brak;Pekon Balak
Batu Brak;Sukaraja
Batu Brak;Kerang
Batu Brak;Teba Liokh
Batu Ketulis;Argomulyo
Batu Ketulis;Atar Bawang
Batu Ketulis;Bakhu
Batu Ketulis;Batu Kebayan
Batu Ketulis;Campang Tiga
Batu Ketulis;Kubuliku Jaya
Batu Ketulis;Atar Kuwau
Batu Ketulis;Luas
Batu Ketulis;Sumber Rejo
Batu Ketulis;Way Ngison
Belalau;Bedudu
Belalau;Bumi Agung
Belalau;Hujung
Belalau;Kejadian
Belalau;Kenali
Belalau;Fajar Agung
Belalau;Sukarame
Belalau;Serungkuk
Belalau;Suka Makmur
Belalau;Turgak
Gedung Surian;Gedung Surian
Gedung Surian;Mekarjaya
Gedung Surian;Cipta Waras
Gedung Surian;Pura Mekar
Gedung Surian;Trimulyo
Kebun Tebu;Muara Baru
Kebun Tebu;Muara Jaya I
Kebun Tebu;Muara Jaya II
Kebun Tebu;Pura Jaya
Kebun Tebu;Pura Wiwitan
Kebun Tebu;Sinar Luas
Kebun Tebu;Tribudi Makmur
Kebun Tebu;Cipta Mulya
Kebun Tebu;Tribudi Syukur
Kebun Tebu;Tugu Mulya
Lumbok Seminung;Keagungan
Lumbok Seminung;Lombok
Lumbok Seminung;Lombok Selatan
Lumbok Seminung;Heni Harong
Lumbok Seminung;Sukabanjar
Lumbok Seminung;Lombok Timur
Lumbok Seminung;Pancur Mas
Lumbok Seminung;Suka Banjar II Ujung Rembun
Lumbok Seminung;Suka Maju
Lumbok Seminung;Tawan Suka Mulya
Lumbok Seminung;Ujung
Pagar Dewa;Pahayu Jaya
Pagar Dewa;Mekar Sari
Pagar Dewa;Sidomulyo
Pagar Dewa;Batu Api
Pagar Dewa;Pagar Dewa
Pagar Dewa;Suka Jaya
Pagar Dewa;Basungan
Pagar Dewa;Sidodadi
Pagar Dewa;Marga Jaya
Pagar Dewa;Suka Mulya
Sekincau;Giham Sukamaju
Sekincau;Pampangan
Sekincau;Waspada
Sekincau;Tiga Jaya
Sukau;Bandar Baru
Sukau;Tapak Siring
Sukau;Jaga Raga
Sukau;Tanjung Raya
Sukau;Buay Nyerupa
Sukau;Bumi Jaya
Sukau;Hanakau
Sukau;Pagar Dewa
Sukau;Suka Mulya
Sukau;Teba Pering Raya
Suoh;Rowo Rejo
Suoh;Sidorejo
Suoh;Banding Agung
Suoh;Ringin Sari
Suoh;Suka marga
Suoh;Sumber Agung
Suoh;Tuguratu
Sumber Jaya;Simpang Sari
Sumber Jaya;Sukajaya
Sumber Jaya;Sindang Pagar
Sumber Jaya;Way Petai
Sumber Jaya;Sukapura
Way Tenong;Karang Agung
Way Tenong;Padang Tambak
Way Tenong;Puralaksana
Way Tenong;Mutar Alam
Way Tenong;Sukananti
Way Tenong;Sukaraja
Way Tenong;Tambak Jaya
Way Tenong;Tanjung Raya
Sumber Jaya;Kelurahan Tugu Sari
Way Tenong;Kelurahan Fajar Bulan
Balik Bukit;Kelurahan Pasar Liwa
Balik Bukit;Kelurahan Way Mengaku
Sekincau;Kelurahan Sekincau
